id,text_v2,sentence_count,char_length,word_count,label_id,category,subject,n_urls,n_emails,n_phones,n_quote_lines
0,"Oops, sorry, my words, not the words of the Qur'an.

Note that ""(the celestial bodies)"" in the above verse is an
interpolation (which is why it is in brackets) -- it is the translator's
(incorrect, IMHO) interpretation.

Here is Maurice Bucaille's translation (he studied Arabic for his
research into the Qur'an and science) of this verse:

""(God is) the One Who created the night, the day, the sun and the moon.
Each is travelling in an orbit with its own motion."" (Qur'an :33)

The positive aspect of this verse noted by Dr. Maurice Bucaille is that
while geocentrism was the commonly accepted notion at the time (and for
a long time afterwards), there is no notion of geocentrism in this verse
(or anywhere in the Qur'an).

Fred Rice
<EMAIL>

Newsgroup: alt.atheism
document_id: 53271",6,787,133,0,alt.atheism,Re: Islam And Scientific Predictions (was Re: Genocide is Caused by Atheism),0,5,0,18
1,"Though there is a command in the law not to heed to one who prophecies
falsely, it is still possible for the one who has prophecied falsely
to prophecy truely again. Take, for example the story in Kings about the
man of God from Judah who came to israel and prophecied against a king.
The Lord had commanded him to not eat or drink till he returned home.
Another prophet wanted this man of God to stay in his house, so he
prophecied falsely that the Lord wanted the man of God to stay in his
house. While they ate and drank in his house, the Lord gave the prophet
who lied a word that the man of God would die from breaking the word of
the Lord. It came to pass.

Link Hudson.

Newsgroup: soc.religion.christian
document_id: 21543",8,730,138,2,soc.religion.christian,Re: earthquake prediction,0,2,0,5
2,"I haven't followed whatever discussion there may have been on these
people, but I feel that C. S. Lewis is an excellent apologist and I
see no reason for embarrassment. If you think that errors and flawed
arguments are a reason for dismissing a thinker, you must dismiss
nearly every thinker from Descartes to Kant; any philosophy course
will introduce you to their weaknesses.

The above also expresses a rather odd sense

I said nothing about ""the masses."" However comparing ""the masses"" in
our day and in Aquinas' day really *is* odd. Read Ortega y Gasset on
this.

I'm talking about the familiar experience of arguing all night and
winning on logic and evidence, only to discover your opponent to be
unaware, even intuitively, of things like entailment (let alone
pragmatics). (I am assuming that both parties are college graduates
or better...) Myself, I don't bother any more.

Ken",8,887,149,2,soc.religion.christian,Re: Ancient Books,0,5,0,18
3,"#In article <1qu485$<EMAIL>>, <EMAIL> (Frank O'Dwyer) writes:
#|> In article <1qkovl$<EMAIL>> <EMAIL> (Jon Livesey) writes:
#|> #
#|> #False dichotomy. You claimed the killing were *not* religiously
#|> #motivated, and I'm saying that's wrong. I'm not saying that
#|> #each and every killing is religiously motivate, as I spelled out
#|> #in detail.
#|>
#|> Which killings do you say are religously motivated?
#
#For example, I would claim that the recent assassination of four
#catholic construction workers who had no connection with the IRA
#was probably religously motivated.
#
#|> At the time
#|> of writing, I think that someone who claims the current violence is
#|> motivated by religion is reaching.
#
#What would you call is when someone writes ""The killings in N.I
#are not religously motivated?""

I'd say it was motivated by a primitive notion of revenge, and by
misguided patriotism. Otherwise, I'd have to wonder how come mainland
catholics are not killed by mainland protestants, and southern
catholics are not killed by southern protestants, and so on. Take away
all plausible causes bar religion, and the violence diminishes markedly.
Gee, why _is_ that?

#|> Now, it's possible to argue that
#|> religion *in the past* is a major contributing factor to the violence in
#|> the present, but I don't know of any evidence that this is so - and I'm
#|> not enough of a historian to debate it.
#
#Given that the avowed aim of the IRA is to take Northern Ireland
#into a country that has a particular church written into its
#constitution, and which has restriction on civil rights dictated
#by that Church, I fail to see why the word ""past"" is appropriate.

The country also has a different official language written in its
constitution (and vice versa :-) - maybe they're motivated by a love of
Irish poetry. Your argument is fallacious, jon.

For what it's worth, I agree with all that you say about Ireland above,
and more.",16,1939,329,0,alt.atheism,Re: islamic genocide,0,7,0,0
4,"Concerning Christians praying for coporate forgiveness of national sins,
Michael Covington claims the following of C.S. Lewis:

<><

I was surprised when I heard this same kind of remark from a fellow grad.
student I know, especially since he had seminary training. I have read the
same essay and do not find Lewis making any such claim. Rather, Lewis is
condemning the use of such coporate prayer efforts as platforms to make
political jabs at opponents, feigned as confessions of guilt (ie., Lord please
forgive us for allowing ""insert political issue/idea/platform"" to exist in our
country, it is wrong and we ask your forgiveness.). I would be interested in
knowing what part of the essay you feel condemns national repentance (please
quote).

Jonathan Waugh
Graduate Research Associate, Pulmonary Medicine Div.
The Ohio State University
SAMP, Rm 431, 1583 Perry St.
Columbus, OH 43210
<EMAIL>

Newsgroup: soc.religion.christian
document_id: 21384",8,951,148,2,soc.religion.christian,"""National repentance""",0,2,1,8
5,"There are many programs on CD-ROM that fit on a harddisk, not all software
is that big (but we're getting there :-)).

-------------------------------------------------------------------------------
Guido Klemans

Internet: <EMAIL> valid until 16 may 1993

-------------------------------------------------------------------------------

'Listen very carefully, I will say this only ones.' Michelle of the resitance

-------------------------------------------------------------------------------

Newsgroup: sci.electronics
Document_id: 54064",3,543,51,1,sci.electronics,Re: How to the disks copy protected.,0,3,0,9
6,"Where can I buy blinking LEDs besides radio shack?

* Does anyone sell blinking LEDs with variable flash rate? (by voltage
I guess) If so, what hertz (pulse) rate are they adjustable or set to?

I'd like blinking LEDs that can be set for approx 5 hz, 10 hz,
15 hz, or 20 hz. Something like that... I'm interested in what's
out there for flash rates. I like the idea of LEDs with flasher
circuits already in them. I hate soldering ICs in general. Guess I
don't have a hell of a lot of patience.

Thanks,

Dana

Newsgroup: sci.electronics
document_id: 54163",10,555,101,1,sci.electronics,blinking LEDs?,0,0,0,0
7,"Alison J Wyld wrote to All:

AJW> Does anyone know of an English language edition that does not show the
AJW> verse (or even chapter) numbers.

[...]

clh> [The original NEB put verse numbers only in the margin [...]

Kenneth Wuest's expanded translation of the New Testament does the same - it puts the range of verse numbers next to the top of each paragraph. Being an expanded translation it is quite verbose though - more suitable for detailed study than for quick reading.

Mike

--- GoldED 2.41",4,500,88,2,soc.religion.christian,Translations,0,1,0,0
8,"OK I sold all but these, I had some offers and I accepted an offer
of 25.00 for the pair from <EMAIL> ( Bdale Garbee ). I don't
know what happened to him but he won't reply now that I accepted
it so I'll offer these again.

Newsgroup: sci.electronics
Document_id: 54273",3,269,51,1,sci.electronics,Fiber Optic Modems For Sale *** CHEAP ***,0,2,0,15
9,"The N A T I O N A L D A Y
o f
P R A Y E R

6 M A Y 1 9 9 3

IMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM;
: :
: JOIN AMERICA IN PRAYER TO: :
: :
: * Acknowledge our dependence upon God; :
: :
: * Give thanks for His many blessings; :
: :
: * Ask God to guide our leaders and to :
: bring healing, reconciliation and whole- :
: ness to our nation and all its people. :
: :
HMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM<

OUR FOUNDING FATHERS SAID...

George Washington: ""I now make it my earnest prayer that God...
(A.D. 1783) would be pleased to dispose us all to do
justice, to love mercy, and to demean
ourselves with charity and humility, and a pacific temper of mind,
which were characteristics of the Divine Author of our blessed
Religion, and without an humble imitation of Whose example in
these things, we can never hope to be a happy nation.""

John Adams: ""It must be felt that there is no national security
(A.D. 1853) but in the nation's humble, acknowledged dependence
upon God and His overruling providence.""

Abraham Lincoln: ""It is the duty of nations, as well as of men,
(A.D. 1863) to own their dependence upon the overruling
power of God, to confess their sins and
transgressions...and to recognize the sublime truth, announced in
the Holy Scriptures and proven by all history, that those nations
only are blessed whose God is the Lord...""

NOTE: You can join with people in your area in observing the
NATIONAL DAY Of PRAYER. To learn who is affiliated with
the Concerts Of Prayer group in your area, contact:

Mr. Barry Garred, Coordinator
P.O. Box 6637
Springdale, ARkansas 72766
VOICE: (<PHONE>
FAX: (<PHONE>

Newsgroup: soc.religion.christian
document_id: 20638",6,1692,300,2,soc.religion.christian,NATIONAL DAY Of PRAYER,0,0,2,0
